name,gender,date_of_birth,age,height,international,team,team_foundation,position,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,attempts_from_set_pieces,away_goals,backward_passes,clean_sheets,corners_won,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,goal_assists,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,interceptions,left_foot_goals,offsides,own_goal_scored,penalties_conceded,penalties_off_target,penalties_saved,penalty_goals,penalty_goals_conceded,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_dribbles,successful_fifty_fifty,successful_long_passes,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_passes,total_red_cards,total_shots,total_tackles,touches,unsuccessful_corners_into_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
Marc-André ter Stegen,M,1992-04-30,30,187,TRUE,FC Barcelona,1899-11-29,Goalkeeper,7,0,7,35,0,0,0,11,1,14,1,13,1,518,0,0,35,0,0,34,30,4,0,0,7,1,6,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,291,1,76,0,0,0,0,0,0,0,0,2,1,220,750,0,0,38,0,3150,0,22,0,6,1129,0,0,0,1411,0,0,141,88,71,18,0,3
Marcelo Vieira Da Silva Junior,M,1988-05-12,34,174,TRUE,Real Madrid,1902-03-06,Defender,7,4,3,12,0,0,83,2,7,41,13,28,7,128,2,0,12,2,0,0,0,0,0,0,34,9,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151,0,0,0,2,3,0,3,7,0,6,9,4,14,329,4,4,38,1,521,2,10,3,8,400,0,5,8,534,0,1,17,71,9,40,0,0
Marcelo Saracchi,M,1998-04-23,24,185,FALSE,Levante UD,1909-09-07,Defender,2,1,1,4,0,0,12,0,0,18,7,11,5,30,2,0,4,1,0,4,4,0,0,0,16,6,10,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,0,0,2,2,0,2,2,3,6,62,3,5,38,1,186,1,7,3,0,83,0,0,8,136,0,0,2,16,4,13,0,2
Marco Asensio,M,1996-01-21,27,182,FALSE,Real Madrid,1902-03-06,Midfielder,9,9,0,31,2,2,227,2,24,128,69,59,27,134,5,0,31,0,10,13,11,2,7,3,119,60,59,0,0,0,8,12,8,2,0,0,0,0,0,1,0,2,136,0,0,0,14,34,0,12,12,7,13,27,16,28,675,4,8,38,0,1728,38,6,8,20,802,0,48,12,1136,24,13,11,140,17,88,4,2
Marco Moreno,M,2001-02-20,21,192,FALSE,Atletico de Madrid,1903-04-26,Defender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Acuña,M,1991-10-28,31,172,FALSE,Sevilla FC,1905-10-14,Defender,54,32,22,31,1,1,261,10,26,299,135,164,50,571,23,0,31,3,1,13,9,4,0,1,245,103,142,1,0,0,0,14,1,0,0,1,0,0,0,1,0,0,606,0,0,0,4,6,0,11,5,11,46,44,22,114,1190,21,29,38,3,2264,49,20,38,48,1549,0,10,50,2317,20,22,91,295,82,154,1,10
Marcos André de Sousa Mendonça,M,1996-10-20,26,184,FALSE,Valencia CF,1919-03-18,Forward,93,51,42,29,0,0,45,0,8,216,124,92,23,47,16,1,29,3,1,16,15,1,1,0,123,73,50,2,0,1,1,7,0,4,0,0,0,0,0,2,0,1,64,0,0,0,16,9,0,6,21,0,0,14,13,7,113,4,11,38,2,961,41,12,23,22,176,0,25,15,398,0,19,6,52,7,50,0,3
Marcos Llorente,M,1995-01-30,28,184,FALSE,Atletico de Madrid,1903-04-26,Midfielder,42,24,18,29,0,0,232,5,27,201,97,104,64,278,12,0,29,2,0,26,22,4,0,0,159,73,86,4,0,1,0,27,0,7,0,1,0,0,0,5,0,0,150,0,0,0,9,2,0,9,0,0,12,19,33,37,886,28,23,38,1,2455,33,37,30,16,1089,0,11,51,1655,0,11,34,166,59,132,0,5
Mariano Díaz Mejía,M,1993-08-01,29,180,FALSE,Real Madrid,1902-03-06,Forward,14,5,9,9,0,1,17,0,4,31,14,17,9,15,1,0,9,1,1,4,4,0,1,0,17,9,8,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,16,0,0,0,9,3,0,2,6,0,0,6,4,2,40,2,0,38,2,339,8,3,2,0,60,0,12,2,106,0,4,4,15,4,14,0,2
Mario Gaspar Pérez Martínez,M,1990-11-24,32,182,FALSE,Villarreal CF,1923-03-10,Defender,19,11,8,12,0,0,57,2,4,48,25,23,14,133,4,0,12,0,0,8,7,1,0,0,29,14,15,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,3,5,0,2,3,5,14,230,6,4,38,0,621,3,13,8,2,308,0,1,10,439,0,1,23,43,23,41,0,1
Mario Gila,M,2000-08-29,22,185,FALSE,Real Madrid,1902-03-06,Defender,0,0,0,2,0,0,3,0,0,3,1,2,0,10,0,0,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,19,1,0,38,0,23,0,1,0,0,22,0,0,1,26,0,0,2,1,2,1,0,0
Mario Hermoso,M,1995-06-18,27,184,FALSE,Atletico de Madrid,1903-04-26,Defender,72,23,49,26,0,0,100,5,5,172,74,98,31,445,14,0,26,1,2,30,26,4,2,0,100,51,49,0,0,0,2,29,2,1,1,0,0,0,0,3,0,0,444,0,0,0,8,5,1,7,5,0,5,8,16,99,931,15,15,38,0,1868,8,46,26,11,1184,1,13,30,1514,0,3,57,111,62,97,2,6
Mario Suárez,M,1987-02-24,35,188,TRUE,Rayo Vallecano,1924-05-20,Midfielder,42,13,29,14,0,0,21,1,3,85,38,47,11,132,6,0,14,0,0,15,14,1,0,0,43,25,18,2,0,0,0,7,0,0,0,1,0,0,0,2,0,0,63,0,0,0,3,3,0,1,6,0,0,4,5,28,229,5,4,38,0,710,4,35,17,5,330,0,6,9,425,0,2,34,47,26,39,0,2
Marko Dmitrovic,M,1992-01-24,31,194,FALSE,Sevilla FC,1905-10-14,Goalkeeper,1,0,1,6,0,0,0,4,0,1,0,1,0,73,0,0,6,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,15,0,0,0,0,0,0,0,0,0,0,27,132,0,0,38,0,540,0,4,0,0,197,0,0,0,249,0,0,38,28,10,0,0,1
Martin Braithwaite,M,1991-06-05,31,177,TRUE,FC Barcelona,1899-11-29,Forward,9,6,3,4,0,0,17,0,3,25,17,8,7,6,2,0,4,1,2,4,3,1,2,0,16,11,5,0,1,0,2,1,0,2,0,0,0,0,0,0,0,1,25,0,0,0,1,3,0,2,1,0,0,2,5,1,43,0,1,38,0,237,6,1,5,2,54,0,4,1,92,0,1,0,10,2,10,1,0
Martin Valjent,M,1995-12-11,27,187,TRUE,RCD Mallorca,1916-03-06,Defender,94,34,60,36,0,0,80,9,4,176,74,102,37,586,11,0,36,0,0,59,50,9,0,0,82,40,42,2,0,0,0,31,0,1,0,2,0,0,0,5,0,0,265,0,0,0,2,1,0,2,0,0,0,4,20,126,981,12,19,38,0,3182,5,171,26,8,1363,0,3,31,1731,0,2,151,180,79,105,0,4
Martín Aguirregabiria,M,1996-05-10,26,178,FALSE,Deportivo Alaves,1921-01-23,Defender,58,27,31,24,0,0,53,2,6,182,81,101,33,295,11,0,24,1,0,31,27,4,0,0,124,54,70,2,0,0,0,25,0,1,0,1,0,0,0,1,0,0,23,0,0,0,3,0,0,6,7,0,14,14,15,33,358,12,22,38,0,1617,13,33,24,22,572,0,3,34,1013,0,5,53,146,66,128,0,4
Martín Cáceres,M,1987-04-07,35,180,FALSE,Levante UD,1909-09-07,Defender,20,13,7,10,0,0,18,1,0,43,25,18,6,143,4,0,10,0,0,13,9,4,0,0,23,12,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,7,1,0,1,1,3,24,258,0,2,38,0,669,1,15,8,8,344,0,0,2,409,0,0,31,41,24,31,0,2
Martín Merquelanz,M,1995-06-12,27,176,FALSE,Rayo Vallecano,1924-05-20,Forward,7,4,3,4,1,0,15,0,1,30,20,10,4,16,0,0,4,0,0,1,1,0,0,0,23,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,3,1,4,6,3,3,1,41,1,1,38,0,176,10,1,2,2,57,0,2,2,103,1,7,3,17,4,12,0,0
Martín Montoya,M,1991-04-14,31,175,FALSE,Real Betis,1907-09-12,Defender,16,6,10,6,0,0,37,0,2,67,27,40,21,97,1,0,6,1,0,8,8,0,0,0,51,21,30,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,15,0,0,0,2,2,0,1,0,0,1,0,10,9,211,8,12,38,0,519,3,17,8,10,266,0,4,20,411,0,1,12,41,17,34,0,2
Martín Zubimendi,M,1999-02-02,24,180,FALSE,Real Sociedad,1909-09-07,Midfielder,87,24,63,36,0,1,200,12,2,251,98,153,96,470,25,0,36,1,2,30,27,3,2,0,164,74,90,1,1,0,1,49,0,3,0,0,0,0,0,2,0,1,419,0,0,0,9,9,0,1,10,0,0,17,51,76,1168,27,25,38,2,2585,19,48,34,21,1452,0,18,52,1807,0,7,61,143,67,147,2,4
Matheus Santos Carneiro Da Cunha,M,1999-05-27,23,184,FALSE,Atletico de Madrid,1903-04-26,Forward,95,74,21,29,0,3,51,0,7,199,126,73,46,51,11,2,29,4,6,14,12,2,6,0,104,52,52,2,0,2,3,6,1,1,0,1,0,0,0,4,0,5,47,0,0,0,15,15,0,8,21,0,3,7,20,3,143,7,12,38,5,1052,17,9,22,26,206,0,30,19,427,0,5,4,52,12,56,1,3
Mathew Ryan,M,1992-04-08,30,184,FALSE,Real Sociedad,1909-09-07,Goalkeeper,1,0,1,3,0,0,0,1,0,1,0,1,0,63,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,10,0,0,0,0,0,0,0,0,0,0,17,36,0,0,38,0,270,0,5,0,0,93,0,0,0,125,0,0,40,30,10,0,0,0
Mathías Olivera,M,1997-10-31,25,184,FALSE,Getafe CF,1983-03-30,Defender,224,113,111,32,0,0,189,13,13,521,258,263,79,445,32,0,32,3,1,28,27,1,1,0,297,145,152,1,1,1,1,55,0,3,0,0,0,0,0,2,0,0,357,0,0,0,12,7,0,4,0,0,12,27,46,33,722,32,47,38,0,2807,65,55,55,46,1052,0,19,79,1991,0,27,54,256,92,243,1,10
Matt Miazga,M,1995-07-19,27,191,FALSE,Deportivo Alaves,1921-01-23,Defender,40,8,32,11,0,0,35,3,1,60,19,41,9,141,1,0,11,0,0,15,13,2,0,0,20,11,9,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,59,0,0,0,3,3,0,0,2,0,0,0,5,34,208,0,7,38,0,831,0,52,6,2,319,0,6,7,431,0,0,36,44,33,41,0,2
Matthew Hoppe,M,2001-03-13,21,191,FALSE,RCD Mallorca,1916-03-06,Forward,13,11,2,5,0,0,12,0,0,28,24,4,6,7,2,0,5,1,0,5,4,1,0,0,15,13,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,4,0,0,0,3,0,24,1,0,38,0,129,7,0,4,1,34,0,1,1,51,0,3,0,8,2,10,0,0
Matías Arezo,M,2002-11-21,20,178,FALSE,Granada CF,1931-01-01,Forward,12,5,7,8,0,0,6,0,2,34,19,15,5,12,2,0,8,0,0,5,5,0,0,0,22,14,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,1,3,0,1,7,0,0,2,1,0,17,2,3,38,0,156,6,1,3,1,33,0,4,5,75,0,3,1,18,2,15,0,1
Matías Dituro,M,1987-05-08,35,191,FALSE,RC Celta,1923-08-23,Goalkeeper,8,0,8,38,0,0,0,14,1,10,0,10,0,932,0,0,38,0,0,43,38,5,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,167,4,96,0,1,0,0,0,0,0,0,0,0,362,437,0,0,38,0,3420,0,28,1,2,1328,0,1,0,1637,0,0,520,450,79,9,0,1
Mauro Arambarri,M,1995-09-30,27,175,FALSE,Getafe CF,1983-03-30,Midfielder,54,26,28,31,2,0,159,12,10,345,176,169,70,360,29,0,31,5,0,27,26,1,0,0,291,150,141,3,0,2,0,32,0,0,0,1,0,0,0,1,0,0,364,0,0,0,21,8,0,4,0,25,44,32,36,125,762,25,37,38,0,2667,54,13,51,48,1143,0,29,62,1689,38,18,78,271,57,178,0,13
Maxime Gonalons,M,1989-03-10,33,187,TRUE,Granada CF,1931-01-01,Midfielder,50,16,34,25,0,0,83,1,3,214,93,121,40,200,19,0,25,2,0,25,23,2,0,0,164,77,87,1,0,0,0,18,0,0,0,0,0,0,0,3,0,0,200,0,0,0,5,2,0,11,5,0,0,14,25,45,505,15,28,38,0,1555,24,28,29,31,651,0,7,43,905,0,7,24,75,32,77,0,6
Maximiliano Gómez,M,1996-08-14,26,186,TRUE,Valencia CF,1919-03-18,Forward,156,71,85,29,6,3,83,4,7,297,150,147,40,103,10,1,29,1,5,28,22,6,5,0,141,79,62,1,1,1,2,3,0,10,0,0,0,0,0,4,1,3,112,0,0,0,15,14,0,11,8,0,4,5,19,8,242,2,3,38,2,1960,32,22,49,55,386,1,29,5,673,0,13,10,130,21,126,3,5
Memphis Depay,M,1994-02-13,28,176,FALSE,FC Barcelona,1899-11-29,Forward,25,15,10,28,6,4,271,3,21,216,107,109,62,154,7,3,28,2,12,21,18,3,11,1,191,92,99,4,1,1,8,3,1,13,0,0,0,0,4,0,0,10,234,0,0,0,18,34,0,5,8,22,37,45,32,17,647,6,4,38,2,1847,63,4,23,44,809,0,52,10,1309,36,29,10,209,24,135,6,3
Mickaël Malsa,M,1995-10-12,27,178,TRUE,Levante UD,1909-09-07,Midfielder,31,20,11,26,0,1,76,0,2,147,78,69,35,190,18,0,26,2,1,32,24,8,1,0,116,58,58,0,0,1,0,18,0,0,0,0,0,0,0,2,0,1,143,0,0,0,5,2,0,8,15,0,0,7,21,30,402,20,17,38,4,1135,12,12,19,15,535,0,7,37,718,0,1,37,74,29,66,0,7
Miguel De la Fuente,M,1999-09-03,23,180,FALSE,Deportivo Alaves,1921-01-23,Forward,55,41,14,22,0,0,48,0,9,150,96,54,23,26,9,1,22,1,1,13,12,1,1,0,95,55,40,1,0,1,1,1,1,5,0,0,0,0,0,1,0,0,40,0,0,0,11,4,0,9,12,0,1,13,8,3,98,4,3,38,0,826,24,7,19,20,152,0,15,7,319,0,12,4,48,8,47,0,2
Miguel Gutiérrez,M,2001-07-27,21,180,FALSE,Real Madrid,1902-03-06,Defender,4,2,2,3,0,0,27,0,1,35,12,23,7,50,2,0,3,1,0,3,2,1,0,0,31,10,21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,2,0,0,2,6,4,13,129,2,5,38,0,262,5,2,3,8,151,0,0,7,220,0,3,3,12,4,6,0,1
Miguel Llambrich,M,1996-01-18,27,170,FALSE,RCD Espanyol de Barcelona,1900-10-23,Defender,2,2,0,2,0,0,6,0,0,8,3,5,0,9,0,0,2,0,0,2,2,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,2,0,0,28,0,2,38,0,70,1,3,0,1,38,0,0,2,62,0,1,4,5,6,6,0,0
Mikel Balenziaga,M,1988-02-29,34,177,FALSE,Athletic Club,1898-12-31,Defender,51,18,33,26,0,0,126,8,7,157,73,84,44,305,9,0,26,0,0,23,22,1,0,0,106,55,51,2,0,0,0,21,0,1,0,0,0,0,0,1,0,0,286,0,0,0,3,2,0,4,3,0,7,6,20,33,559,9,24,38,0,2026,18,71,21,12,763,0,5,33,1272,0,6,67,147,68,104,0,2
Mikel Merino,M,1996-06-22,26,188,FALSE,Real Sociedad,1909-09-07,Midfielder,197,84,113,34,0,3,272,14,11,532,257,275,86,660,37,2,34,2,3,24,20,4,3,0,335,173,162,2,0,2,0,21,2,4,0,1,0,0,0,5,0,1,401,0,0,0,18,15,0,7,1,0,7,28,40,80,1261,33,38,38,13,2894,75,56,60,67,1728,0,33,71,2309,0,19,78,325,78,309,1,8
Mikel Oyarzabal,M,1997-04-21,25,181,FALSE,Real Sociedad,1909-09-07,Forward,57,35,22,22,5,5,148,5,29,200,112,88,48,126,10,0,22,3,9,22,19,3,8,1,143,77,66,1,2,0,4,10,6,5,0,0,0,0,4,2,0,1,135,0,0,1,11,18,1,7,3,14,26,22,18,13,369,8,10,38,2,1673,50,14,14,26,511,1,29,18,912,39,21,13,184,29,116,5,0
Mikel Vesga,M,1993-04-08,29,191,FALSE,Athletic Club,1898-12-31,Midfielder,62,22,40,32,0,1,82,1,2,182,90,92,36,261,23,0,32,0,2,16,15,1,1,1,120,68,52,2,1,0,1,20,1,0,0,1,0,0,0,2,1,0,209,0,0,0,7,4,0,12,15,0,3,9,25,45,503,13,14,38,1,1355,16,33,34,17,705,1,11,27,926,0,6,42,121,45,115,1,4
Moisés Gómez Bardonado,M,1994-06-23,28,176,FALSE,Villarreal CF,1923-03-10,Midfielder,25,14,11,29,0,2,153,1,6,124,74,50,36,146,14,0,29,2,2,14,12,2,2,0,99,60,39,0,0,0,0,6,1,1,0,0,0,0,0,1,0,1,129,0,0,0,3,5,0,9,16,5,11,13,19,20,441,8,7,38,4,1277,27,5,22,11,557,0,8,15,744,10,9,12,91,27,84,0,2
Mouctar Diakhaby,M,1996-12-19,26,189,FALSE,Valencia CF,1919-03-18,Defender,64,31,33,29,0,0,48,5,3,171,74,97,57,321,12,0,29,1,0,35,31,4,0,0,107,43,64,1,0,0,0,30,0,1,2,1,0,0,0,4,0,0,163,0,0,0,4,2,0,4,8,0,1,13,31,72,466,11,24,38,0,1945,10,83,26,16,720,0,6,35,1017,0,6,109,138,48,73,0,11
Munir El-Haddadi,M,1995-09-01,27,175,FALSE,Sevilla FC,1905-10-14,Forward,24,16,8,16,0,0,36,0,1,75,44,31,15,29,5,0,16,0,2,6,5,1,1,1,51,28,23,0,0,0,2,5,2,3,0,0,0,0,0,0,0,0,35,0,0,0,2,7,0,4,12,0,2,2,8,3,95,4,4,38,0,468,15,2,7,13,124,0,9,8,227,0,6,0,21,9,26,2,3
Nabil Fekir,M,1993-07-18,29,173,TRUE,Real Betis,1907-09-12,Forward,74,48,26,34,11,4,261,2,35,506,263,243,104,377,39,0,34,8,6,32,29,3,4,2,432,215,217,0,0,5,2,7,5,9,0,0,0,0,0,2,0,1,322,0,0,1,23,32,1,17,1,36,60,82,41,45,1094,14,29,38,9,2807,122,4,65,92,1318,1,55,43,2134,69,41,17,261,31,162,0,7
Jose Ignacio Fernandez Iglesias,M,1990-01-18,33,180,TRUE,Real Madrid,1902-03-06,Defender,47,19,28,28,0,3,85,4,2,108,47,61,34,344,11,0,28,0,3,19,17,2,3,0,61,28,33,0,0,0,0,34,0,0,0,0,0,0,0,2,0,3,303,0,0,0,3,4,0,3,11,0,2,2,25,31,892,4,14,38,0,1549,3,49,15,13,992,0,7,18,1224,0,2,23,41,37,46,2,7
Ignacio Quintana Navarro,M,2001-02-23,21,178,FALSE,Sevilla FC,1905-10-14,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignacio Vidal Miralles,M,1995-01-24,28,180,FALSE,CA Osasuna,1920-11-17,Defender,106,35,71,35,0,0,150,10,9,361,153,208,56,532,37,1,35,1,0,40,37,3,0,0,255,118,137,1,0,0,0,58,0,3,0,2,0,0,0,4,0,0,71,0,0,0,11,1,0,6,2,0,11,23,31,73,699,36,47,38,1,2906,34,71,48,33,1088,0,12,83,2015,0,25,94,267,109,222,0,9
Nahuel Tenaglia,M,1996-02-21,26,180,FALSE,Deportivo Alaves,1921-01-23,Defender,42,19,23,14,0,0,38,2,3,130,50,80,32,210,8,0,14,0,0,21,18,3,0,0,88,31,57,0,0,0,0,26,0,0,0,1,0,0,0,4,0,0,15,0,0,0,3,1,0,2,2,0,3,7,18,25,183,15,27,38,0,1072,10,35,8,8,347,0,4,42,668,0,4,56,113,47,83,0,2
Nemanja Gudelj,M,1991-11-16,31,187,FALSE,Sevilla FC,1905-10-14,Midfielder,37,8,29,21,1,0,77,4,0,82,28,54,33,187,11,0,21,0,0,9,7,2,0,0,45,20,25,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,179,0,0,0,3,1,0,4,12,0,0,0,18,22,577,9,7,38,0,1040,2,36,15,9,671,0,4,16,806,0,0,26,34,38,46,0,5
Nemanja Maksimovic,M,1995-01-26,28,189,TRUE,Getafe CF,1983-03-30,Midfielder,89,42,47,35,0,0,176,8,8,228,102,126,81,254,6,0,35,1,1,37,36,1,1,0,139,60,79,1,0,0,1,71,0,0,0,0,0,0,0,2,0,1,226,0,0,0,17,5,0,8,1,0,2,10,42,31,617,24,32,38,1,2943,17,33,13,13,834,0,22,56,1247,0,6,40,147,50,146,1,4
Nemanja Radoja,M,1993-02-06,29,186,FALSE,Levante UD,1909-09-07,Midfielder,31,13,18,19,0,0,76,2,3,133,66,67,44,125,13,1,19,0,0,27,26,1,0,0,102,53,49,0,0,0,0,22,0,0,0,1,0,0,0,2,0,0,139,0,0,0,2,1,0,12,2,0,1,11,25,20,362,17,8,38,0,1222,25,15,16,13,454,0,3,25,648,0,5,14,47,29,58,0,3
Norberto Murara Neto,M,1989-07-19,33,190,TRUE,FC Barcelona,1899-11-29,Goalkeeper,0,0,0,3,0,0,0,0,1,0,0,0,0,58,0,0,3,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,0,0,0,0,0,0,32,57,0,0,38,0,270,0,3,0,0,112,0,0,0,144,0,0,18,15,8,5,0,0
Nicolás González Iglesias,M,2002-01-03,21,188,FALSE,FC Barcelona,1899-11-29,Midfielder,18,13,5,27,0,1,129,1,7,181,92,89,38,150,27,0,27,1,2,10,9,1,2,0,163,79,84,2,0,0,1,6,0,1,0,0,0,0,0,1,0,2,195,0,0,0,7,4,0,10,15,0,2,34,18,12,594,11,20,38,3,1109,28,12,37,19,673,0,11,31,907,0,9,7,55,17,60,1,6
Nicolas Jackson,M,2001-06-20,21,186,FALSE,Villarreal CF,1923-03-10,Forward,19,6,13,9,0,0,20,0,1,40,16,24,7,6,1,1,9,0,0,3,3,0,0,0,21,10,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,15,0,0,0,2,1,0,0,9,0,0,4,2,0,38,2,0,38,0,158,8,1,2,5,50,0,3,2,93,0,2,1,12,1,11,0,1
Nicolás Melamed,M,2001-04-11,21,173,FALSE,RCD Espanyol de Barcelona,1900-10-23,Forward,46,36,10,31,0,0,109,0,5,202,119,83,33,95,15,0,31,0,2,14,14,0,1,1,156,83,73,0,0,0,2,7,0,3,0,0,0,0,0,0,1,2,143,0,0,0,9,4,0,7,24,2,6,23,18,18,343,9,6,38,1,1098,34,3,26,36,412,1,13,15,648,3,16,9,46,15,42,0,3
Nikola Maras,M,1995-12-19,27,189,FALSE,Rayo Vallecano,1924-05-20,Defender,57,27,30,16,0,0,29,3,0,90,43,47,10,179,5,0,16,0,0,18,15,3,0,0,33,16,17,1,0,0,0,15,0,0,0,0,0,0,0,2,0,0,99,0,0,0,1,0,0,2,5,0,0,1,6,21,348,4,9,38,0,1041,0,50,11,4,455,0,1,13,580,0,0,35,57,29,51,0,4
Nikola Vukcevic,M,1991-12-13,31,184,FALSE,Levante UD,1909-09-07,Midfielder,8,2,6,6,0,0,11,0,0,17,6,11,5,22,2,0,6,0,0,3,2,1,0,0,9,4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,6,0,0,1,3,0,60,1,2,38,0,113,0,1,4,1,73,0,1,3,93,0,0,4,7,6,9,0,1
Njegos Petrovic,M,1999-07-18,23,185,FALSE,Granada CF,1931-01-01,Midfielder,32,20,12,15,0,0,49,1,1,107,49,58,23,120,8,0,15,1,0,23,21,2,0,0,75,29,46,0,0,0,0,9,0,1,0,0,0,0,0,3,0,0,82,0,0,0,3,2,0,5,5,0,0,10,15,14,250,13,11,38,1,917,12,11,11,14,330,0,5,24,482,0,6,6,52,19,60,0,5
Manuel Agudo Durán,M,1986-10-15,36,175,FALSE,RC Celta,1923-08-23,Forward,25,13,12,32,1,0,99,0,6,155,94,61,33,159,13,0,32,0,2,20,15,5,2,0,130,81,49,4,1,0,2,9,1,6,0,1,0,0,0,3,0,0,228,0,0,0,7,9,0,14,17,0,2,13,15,26,386,10,15,38,5,1382,30,2,21,11,528,0,16,25,764,4,9,16,114,18,100,0,1
Néstor Araújo,M,1991-08-29,31,188,TRUE,RC Celta,1923-08-23,Defender,114,50,64,34,0,0,145,9,4,186,86,100,47,462,6,0,34,0,0,30,27,3,0,0,72,36,36,0,0,0,0,27,0,0,1,0,0,0,0,2,0,0,492,0,0,0,6,1,0,5,5,0,1,5,20,88,1234,8,14,38,0,2617,7,102,19,10,1544,0,7,22,1813,0,3,105,154,70,117,0,4
Oier Olazábal,M,1989-09-14,33,190,FALSE,RCD Espanyol de Barcelona,1900-10-23,Goalkeeper,1,0,1,2,0,0,0,0,0,1,0,1,0,32,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,8,0,0,0,0,0,1,0,0,0,0,9,10,0,0,38,0,135,0,0,0,0,38,0,0,0,54,0,0,19,17,2,0,0,0
Oier Sanjurjo,M,1986-05-25,36,178,FALSE,CA Osasuna,1920-11-17,Midfielder,37,16,21,25,0,0,38,0,3,95,56,39,25,107,8,0,25,0,1,15,13,2,1,0,58,40,18,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,82,0,0,0,7,1,0,7,17,0,2,2,10,17,206,4,6,38,0,750,6,9,17,6,309,0,8,10,401,0,1,17,74,21,69,0,3
Oier Zarraga,M,1999-01-04,24,175,FALSE,Athletic Club,1898-12-31,Midfielder,24,14,10,31,0,0,41,0,3,107,68,39,34,184,11,1,31,0,1,13,13,0,1,0,83,54,29,0,0,0,1,19,0,1,0,0,0,0,1,1,0,1,98,0,0,0,9,4,0,5,23,0,2,4,18,19,356,8,5,38,1,1151,13,9,16,12,469,0,13,13,650,0,4,26,81,30,68,0,5
Oihan Sancet,M,2000-04-25,22,188,FALSE,Athletic Club,1898-12-31,Midfielder,48,31,17,27,0,3,105,0,8,199,120,79,46,115,9,0,27,4,6,17,16,1,6,0,151,89,62,5,1,1,3,5,0,5,0,0,0,0,0,2,0,5,122,0,0,0,10,14,0,16,11,0,3,23,17,13,328,5,7,38,10,1424,59,12,20,27,436,0,24,12,725,0,14,4,90,12,91,1,2
