name,gender,date_of_birth,age,height,international,team,team_foundation,position,aerial_duels,aerial_duels_lost,aerial_duels_won,appearances,attempts_from_set_pieces,away_goals,backward_passes,clean_sheets,corners_won,duels,duels_lost,duels_won,fifty_fifty,forward_passes,foul_attempted_tackle,foul_won_penalty,games_played,goal_assists,goals,goals_conceded,goals_conceded_inside_box,goals_conceded_outside_box,goals_from_inside_box,goals_from_outside_box,ground_duels,ground_duels_lost,ground_duels_won,handballs_conceded,headed_goals,hit_woodwork,home_goals,interceptions,left_foot_goals,offsides,own_goal_scored,penalties_conceded,penalties_off_target,penalties_saved,penalty_goals,penalty_goals_conceded,red_cards_2nd_yellow,right_foot_goals,rightside_passes,saves_from_penalty,saves_made,set_pieces_goals,shots_off_target_inc_woodwork,shots_on_target_inc_goals,straight_red_cards,substitute_off,substitute_on,successful_corners_into_box,successful_crosses_corners,successful_dribbles,successful_fifty_fifty,successful_long_passes,successful_short_passes,tackles_lost,tackles_won,team_games_played,through_balls,time_played,times_tackled,total_clearances,total_fouls_conceded,total_fouls_won,total_passes,total_red_cards,total_shots,total_tackles,touches,unsuccessful_corners_into_box,unsuccessful_dribbles,unsuccessful_long_passes,unsuccessful_passes_opposition_half,unsuccessful_passes_own_half,unsuccessful_short_passes,winning_goal,yellow_cards
Kévin Manuel Rodrigues,M,1994-03-05,28,170,FALSE,Rayo Vallecano,1924-05-20,Defender,18,8,10,13,0,0,20,0,1,57,23,34,13,76,2,0,13,0,0,13,11,2,0,0,39,15,24,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,64,0,0,0,2,0,0,4,8,0,1,2,6,6,115,4,11,38,0,433,7,4,5,7,170,0,2,15,312,1,2,12,36,22,37,0,0
Landry Dimata,M,1997-09-01,25,185,FALSE,RCD Espanyol de Barcelona,1900-10-23,Forward,43,25,18,17,0,0,21,0,3,99,54,45,14,15,5,0,17,0,0,10,10,0,0,0,56,29,27,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,23,0,0,0,6,0,0,3,13,0,0,6,6,2,65,0,2,38,0,536,14,7,14,20,92,0,6,2,196,0,4,1,20,5,24,0,0
Lazar Carevic,M,1999-03-16,23,193,FALSE,FC Barcelona,1899-11-29,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Cabrera,M,1991-06-17,31,190,FALSE,RCD Espanyol de Barcelona,1900-10-23,Defender,134,50,84,37,0,1,54,10,5,240,99,141,57,941,13,0,37,0,2,49,48,1,2,0,106,49,57,1,1,2,1,44,1,2,1,2,0,0,0,3,0,0,537,0,0,0,9,6,0,0,0,0,0,1,29,164,1237,13,24,38,2,3330,7,215,32,21,1829,0,15,37,2372,0,4,243,295,146,185,1,7
Kang-In Lee,M,2001-02-19,21,173,FALSE,RCD Mallorca,1916-03-06,Midfielder,55,39,16,30,8,1,122,1,18,243,140,103,30,151,7,0,30,2,1,27,24,3,0,1,188,101,87,1,0,3,0,5,1,1,1,0,0,0,0,3,1,0,84,0,0,0,11,15,0,12,15,8,12,38,18,21,369,7,6,38,4,1409,55,4,23,36,501,1,26,13,879,28,23,27,147,25,84,0,1
Lluis Andreu,M,1999-07-23,23,189,FALSE,Elche CF,1923-03-01,Goalkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Morón,M,1993-12-30,29,188,FALSE,RCD Espanyol de Barcelona,1900-10-23,Forward,48,29,19,21,0,0,21,0,3,106,62,44,15,27,7,0,21,0,1,10,10,0,0,1,58,33,25,0,0,1,0,2,0,7,0,0,0,0,0,0,0,1,24,0,0,0,4,2,0,4,17,0,1,4,10,1,49,2,4,38,0,555,11,8,10,15,85,0,6,6,194,0,3,3,32,7,32,0,0
Luca Zidane,M,1998-05-13,24,183,FALSE,Rayo Vallecano,1924-05-20,Goalkeeper,1,0,1,8,0,0,0,0,0,6,2,4,0,132,0,0,8,0,0,13,12,1,0,0,5,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,24,0,0,0,1,0,0,0,0,2,0,59,72,0,0,38,0,646,0,4,1,1,189,1,0,0,272,0,0,57,47,11,1,0,0
Lucas Boyé,M,1996-02-28,26,179,FALSE,Elche CF,1923-03-01,Forward,84,53,31,24,2,5,112,1,11,370,215,155,80,88,20,0,24,3,7,25,22,3,5,2,286,162,124,1,1,2,2,2,0,13,0,0,0,0,0,4,0,6,98,0,0,0,19,16,0,13,2,0,1,57,40,11,293,14,13,38,1,1723,109,23,39,40,414,0,35,27,979,0,31,5,94,22,105,1,3
Lucas Ocampos,M,1994-07-11,28,187,FALSE,Sevilla FC,1905-10-14,Forward,57,30,27,30,0,1,202,5,27,351,201,150,57,201,30,0,30,4,6,20,15,5,6,0,294,171,123,6,1,1,5,9,2,2,0,1,0,0,0,2,0,3,147,0,0,0,24,17,0,9,7,1,15,37,21,29,566,21,24,38,0,2124,101,22,45,41,723,0,41,45,1356,0,58,25,150,26,103,3,7
